"","Skipaskrárnúmer","Lengd","Brúttórúmmál","Brúttótonn","WSA","gerd"
"811",6836,9.02,0,6.29,43.2021458384726,"litlir"
"812",6837,8.96,6.64,6.34,43.40855841818,"litlir"
"813",6838,7.98,5.9,4.96,37.4453245693015,"litlir"
"814",6847,7.98,5.9,4.97,37.4907541051376,"litlir"
"815",6848,7.99,5.77,5.06,37.8979956164627,"litlir"
"816",6852,7.99,5.77,5.06,37.8979956164627,"litlir"
"817",6856,8.82,7.56,5.96,41.8230670759452,"litlir"
"818",6857,10.05,0,7.36,47.4873652606157,"litlir"
"819",6859,8.62,6.52,5.92,41.653864268704,"litlir"
"820",6865,8.55,0,6.42,43.7374759792488,"litlir"
"821",6867,7.99,0,5.28,38.8815215157006,"litlir"
"822",6868,7.98,5.9,4.96,37.4453245693015,"litlir"
"823",6875,7.92,4.28,4.2,33.8776832318297,"litlir"
"824",6877,8.19,4.09,4.15,33.634314773602,"litlir"
"825",6878,8.41,5.9,4.97,37.4907541051376,"litlir"
"826",6882,8.98,5.11,5.14,38.257574066232,"litlir"
"827",6893,9.64,6.48,5.92,41.653864268704,"litlir"
"828",6894,8.33,5.83,5.31,39.014364017321,"litlir"
"829",6899,7.73,5.68,4.86,36.9890062922887,"litlir"
"830",6905,7.99,5.77,5.07,37.9430660296581,"litlir"
"831",6909,9.93,9.29,9.57,55.6194406056922,"litlir"
"832",6911,9.36,5.05,5.78,41.0580376671191,"litlir"
"833",6915,8.23,4.75,3.9,32.3995160715058,"litlir"
"834",6917,9.09,6.22,5.92,41.653864268704,"litlir"
"835",6918,7.98,6.86,4.97,37.4907541051376,"litlir"
"836",6919,8.44,6.33,4.97,37.4907541051376,"litlir"
"837",6921,7.98,4.83,4.81,36.7594467215307,"litlir"
"838",6931,7.73,6.03,4.86,36.9890062922887,"litlir"
"839",6933,10.46,0,8.62,52.226750358905,"litlir"
"840",6934,7.98,5.9,4.96,37.4453245693015,"litlir"
"841",6935,8.96,6.64,6.34,43.40855841818,"litlir"
"842",6936,8.96,5.9,6.36,43.4909419249202,"litlir"
"843",6941,7.66,4.99,3.73,31.5417907898579,"litlir"
"844",6943,8.52,6.31,5.77,41.0152600626993,"litlir"
"845",6945,10.67,0,11.25,61.3071953344314,"litlir"
"846",6946,8.45,4.44,4.58,35.690994373096,"litlir"
"847",6947,8.78,5.27,4.76,36.5289354257322,"litlir"
"848",6952,11.14,9.13,11.44,61.928433824187,"litlir"
"849",6961,9.93,9.29,9.57,55.6194406056922,"litlir"
"850",6969,8.96,6.66,6.36,43.4909419249202,"litlir"
"851",6975,7.99,5.77,5.07,37.9430660296581,"litlir"
"852",6976,9.7,7.29,7.23,46.9806352762388,"litlir"
"853",6978,8.55,4.98,3.97,32.7483569266258,"litlir"
"854",6979,7.98,5.9,4.97,37.4907541051376,"litlir"
"855",6982,10.48,8.43,9.16,54.1724784172737,"litlir"
"856",6986,8.53,4.74,4.09,33.3407266960535,"litlir"
"857",6987,7.99,5.77,5.06,37.8979956164627,"litlir"
"858",6988,9.93,9.29,9.58,55.6544206936213,"litlir"
"859",6990,8.41,4.95,4.71,36.2974583991622,"litlir"
"860",6991,10.65,9.88,10.83,59.9189178039568,"litlir"
"861",6992,7.98,5.9,4.97,37.4907541051376,"litlir"
"862",6996,10.96,0,12.01,63.7679595351466,"litlir"
"863",6998,10.91,7.85,10.67,59.3844325034451,"litlir"
"864",6999,8.29,5.9,4.97,37.4907541051376,"litlir"
"865",7000,9.96,8.54,9.29,54.634011520444,"litlir"
"866",7001,7.73,6.03,4.86,36.9890062922887,"litlir"
"867",7007,11.82,0,14.68,71.9592644653629,"litlir"
"868",7011,8.32,5.77,5.07,37.9430660296581,"litlir"
"869",7019,8.19,6.04,5.33,39.1027597764143,"litlir"
"870",7020,8.24,3.77,4.11,33.4387786791346,"litlir"
"871",7022,10.6,9.49,11.13,60.9126815784776,"litlir"
"872",7025,8.42,0,4.43,34.9826474441698,"litlir"
"873",7028,8.5,6.99,5.99,41.9496727418564,"litlir"
"874",7031,7.99,5.77,5.06,37.8979956164627,"litlir"
"875",7037,9.97,0,7.61,48.4519425334339,"litlir"
"876",7038,11.05,9.57,11.34,61.6019824844566,"litlir"
"877",7040,11.3,0,12.79,66.229838778045,"litlir"
"878",7041,7.98,5.9,4.96,37.4453245693015,"litlir"
"879",7049,9.93,9.29,9.57,55.6194406056922,"litlir"
"880",7051,7.98,5.9,4.97,37.4907541051376,"litlir"
"881",7053,8.36,5.77,5.17,38.3918408872876,"litlir"
"882",7056,7.73,6.03,4.86,36.9890062922887,"litlir"
"883",7057,7.98,5.9,4.96,37.4453245693015,"litlir"
"884",7060,10.23,0,6.81,45.3181519701927,"litlir"
"885",7062,8.43,0,5.06,37.8979956164627,"litlir"
