Heilbrigðiseftirlitssvæði	Sveitarfélag	Svæði	Þéttbýli/dreifbýli	Safnræsi/Útrás	Fjöldi safnræsa/útrása	Magn skólps (pe.)	Tegund hreinsunar
Norðurlands eystra	Svalbarðs-strandahreppur	Svæði 2	Svalbarðseyri	Öll í þéttbýli	1	400	Engin
Norðurlands eystra	Grýtubakkahreppur	Svæði 2	Grenivík	Öll í þéttbýli	2	550	Engin
Norðurlands eystra	Hörgársveit	Svæði 2	Hjalteyri	Öll í þéttbýli	2		Ekki vitað
Norðurlands eystra	Hörgársveit	Svæði 2	Skógarbyggð	Öll í þéttbýli	2	630	Ekki vitað
Norðurlands eystra	Hörgársveit	Svæði 2	Lónsá	Öll í þéttbýli	Ekki vitað	100	Tveggja þrepa
Norðurlands eystra	Þingeyjarsveit	Svæði 2	Laugar	Aðalútrás	Ekki vitað	130	Tveggja þrepa
Norðurlands eystra	Þingeyjarsveit	Svæði 2	Laugar	Laugaskóli	Ekki vitað	120	Eins þreps
Norðurlands eystra	Skútustaðarhreppur	Svæði 2	Reykjahlíð	Öll í þéttbýli	4	156	Ekki vitað
Norðurlands eystra	Langanesbyggð	Svæði 2	Þórshöfn	Öll í þéttbýli	4	2510	Engin
Norðurlands eystra	Langanesbyggð	Svæði 2	Bakkafjörður	Öll í þéttbýli	5	130	Engin
Austurlands	Fljótsdalshérað	Svæði 2	Egilsstaðir	Einbúablá, Mánatröð og Melhorn/Votihvammur	3	2199	Ítarleg 
Austurlands	Fljótsdalshérað	Svæði 2	Egilsstaðir	Rotþró án siturlagnar við Egilsstaðavík	1	1440	Eins þreps
Austurlands	Fljótsdalshérað	Svæði 2	Fellabær	Útrás við Helgafell, 2-3 m neðan Lagarfljótsbrúar	4	205	Eins þreps
Austurlands	Fljótsdalshérað	Svæði 2	Fellabær	Hreinsivirki Smárahvammi	1	204	Ítarleg
